Voter address,Supports,Stake,Block number,Transaction hash,Used Aragon client
0x15c423e2c5e4980d556acd3a02ccb160d0a1d03a,true,61.69151007,6709677,0x39b62313a9ad630f4db44fa4bb3230c0b636248024191e0add1996d2b3a26f24,true
0xd472fa32294977196b9ad47e7865e0d737220e32,true,5602.7264968,6709748,0x66c5c537906c3f79af9d64b6da6cdfd1e6e52c9966f04cc7bbe57070dc7bc452,true
0x19eda7a5d8624762f3e35cd277220cdb274cbea8,true,480.052519880000004096,6709943,0x28b203e8eaee7b167c9d10c0b755ce0183a5cbd7760ede5af3478f428014982a,false
0xb950e0e108546743af96eb493d4ff2abc63816db,true,100,6710207,0x04a3a346b1ef8726a9498938f5631d2ffabc04b1a6af3d32e5d6b28c60bd2c14,true
0x901e9ffe28c136759399025ef9d2da2ca9089bd2,true,474.070434344519,6710332,0xdb7a125ab750151a44b238064a1b407212e77ce548ca0f730ca35e2c3b8c2be7,true
0xf83775c95a00612d4cac5053dd484ffa81bae0ad,true,370,6710787,0x10d08be3c5f91a9b2659d8bedb7468e41dc53fd6b08533697467fcecb72cef58,true
0x939428c249a738990d4fb938509a5c43f3ecedcf,true,29560.7142857143,6711209,0x4bf7a823f2ef3ec6154e3d246386d4215eddc1613fd819596fd1814040c3ce48,true
0xe680d5a71ebc0134e2acc14eb69d8776159d8177,true,2660,6711230,0xdb40e0b2288cc9b01340c92de47a5c1d82d0f58bfacd0f96eb1f81e11fd27ede,true
0xcafb4ff79d39949d29e2ec4eb6b42c1e7b4d8b2b,true,46453.40166575,6711688,0x1b90e15c5a51494b80e596d4026ca171fcff388c365a909754b4ab044fec7a0f,true
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,true,1263.142012,6711807,0xb01c38e0ca001557402f5c5d240604d80d74b485e82b16632f217402a64b4282,true
0xedfada8246c5d3e93e8012ffc8a549c32ef75b9c,true,28.59535556,6712017,0x976d91d02764d5d5768666eca325b2e0d536eaaa448e6305f3110f63028429a1,true
0xaebe9c424054fa2e135a2399b40601409416b8d8,true,13.820858,6712031,0x25d448b1e0b348029e91741f34be088f3d8015cab9521441e8a67f7238f44a2f,true
0x865c2f85c9fea1c6ac7f53de07554d68cb92ed88,true,50,6712182,0x1de329d7b28060387361753f56df7dbe5790cb286207476b70c3849056eeeeca,true
0xd8cff476a58cc9142380fbee13710d16cb4fb0ce,false,261.116740059999995904,6714257,0x01a2e6bbb8ec8606d7f3d18ad672e4dcce5e517d9d11eacecd9c9899c8578239,true
0xd78afb4faaf508e0a59dac46ebdaeddd5b3891df,true,517.41389344,6714617,0x72a4caee54c66bd4d53baa23c7f6c9a7e0f775619ecf1b47479fae7bd5f56034,true
0xf2c09b22f128e6039098a37dd9f2975a57f982e0,true,725.4896645821489,6715723,0xf420547abd16fb35df690b6e32ee967a1df8fbc8cce42208a89f288d98f5609d,true
0x588b8ab9cba388041937b4c2322a550113d6d5ac,true,121.912495664803469032,6716424,0x0edbf5d0f926875904bf379497a07b4785dcd3df000573978de19db0c1024f48,true
0x024dbaaec9a8dc1cb8bc3bd3867942e5f0080498,true,501,6717591,0x5c64cd1b8a3e7ae1365767286f13fec630b6783b8f7e7a384b501df06fc171eb,true
0xdc3cb2d624f5afcbb2e7ecf4b0781f798dc522cb,true,5000,6717601,0xd38d898df731822a3958d07381ff6e6595c0015db4e8eaf68326e5f464f64771,true
0x76d7dd8e16149e5242c2eb9da62268ca02e2b320,true,5000,6717607,0x5d79ff39bf35b016c6b5d646abeabcbacb488f509944fa3317243666c527c61b,true
0xbfc1e256842c99eed8db16294974a66f7ab5ea89,false,98.7,6717716,0x1ceca9bb553bca6f38f09b0dc1f6d884316efa4ff84c685a5588ab750b24d74c,true
0x9ab0b3323b1c9035b90ca4f1e462bb72c5417503,true,20000,6717742,0xc39347a1c587e78ca2501787a15eede4e269fea564dcfbf0c83774c74e240a90,true
0x577d9811d7dc8b55b5bd4da1f700ccd83ac70741,true,96.75720953377954,6718105,0xaf63d3c806b5ccb1672cd26ed0453f23aff7e86f3af135706b4bd5c371014f02,true
